Typ,Gemeindename,AnzahlHardware
Stadt,Schramberg,0
Stadt,Schriesheim,0
Stadt,Schrozberg,0
Gemeinde,Schuttertal,0
Gemeinde,Schutterwald,0
Stadt,Schwäbisch Gmünd,0
Stadt,Schwäbisch Hall,0
Stadt,Schwaigern,0
Gemeinde,Schwaikheim,0
Gemeinde,Schwanau,0
Gemeinde,Schwarzach,0
Gemeinde,Schwendi,0
Gemeinde,Schwenningen,0
Stadt,Schwetzingen,0
Gemeinde,Schwieberdingen,0
Gemeinde,Schwörstadt,0
Gemeinde,Seckach,0
Gemeinde,Seebach,0
Gemeinde,Seekirch,0
Gemeinde,Seelbach,0
Gemeinde,Seewald,0
Gemeinde,Seitingen-Oberflacht,0
Gemeinde,Sersheim,0
Gemeinde,Setzingen,0
Gemeinde,Sexau,0
Gemeinde,Siegelsbach,0
Stadt,Sigmaringen,0
Gemeinde,Sigmaringendorf,0
Gemeinde,Simmersfeld,0
Gemeinde,Simmozheim,0
Gemeinde,Simonswald,0
Stadt,Sindelfingen,0
Stadt,Singen (Hohentwiel),0
Stadt,Sinsheim,0
Gemeinde,Sinzheim,0
Gemeinde,Sipplingen,0
Gemeinde,Sölden,0
Gemeinde,Sonnenbühl,0
Gemeinde,Sontheim an der Brenz,0
Stadt,Spaichingen,0
Gemeinde,Spechbach,0
Gemeinde,Spiegelberg,0
Gemeinde,Spraitbach,0
Stadt,St. Blasien,0
Stadt,St. Georgen im Schwarzwald,0
Gemeinde,St. Johann,0
Gemeinde,St. Leon-Rot,0
Gemeinde,St. Märgen,0
Gemeinde,St. Peter,0
Gemeinde,Staig,0
Gemeinde,Starzach,0
Stadt,Staufen im Breisgau,0
Gemeinde,Stegen,0
Gemeinde,Steinach,0
Gemeinde,Steinen,0
Gemeinde,Steinenbronn,0
Gemeinde,Steinhausen an der Rottum,0
Gemeinde,Steinheim am Albuch,0
Stadt,Steinheim an der Murr,0
Gemeinde,Steinmauern,0
Gemeinde,Steißlingen,0
Gemeinde,Sternenfels,0
Gemeinde,Stetten,0
Gemeinde,Stetten am kalten Markt,0
Gemeinde,Stimpfach,0
Stadt,Stockach,0
Gemeinde,Stödtlen,0
Gemeinde,Straßberg,0
Gemeinde,Straubenhardt,0
Stadt,Stühlingen,0
Stadt,Stutensee,0
Stadt,Stuttgart,0
Stadt,Sulz am Neckar,0
Gemeinde,Sulzbach an der Murr,0
Gemeinde,Sulzbach-Laufen,0
Stadt,Sulzburg,0
Gemeinde,Sulzfeld,0
Stadt,Süßen,0
Gemeinde,Täferrot,0
Gemeinde,Talheim,0
Gemeinde,Talheim,0
Gemeinde,Tamm,0
Gemeinde,Tannhausen,0
Gemeinde,Tannheim,0
Stadt,Tauberbischofsheim,0
Stadt,Tengen,0
Gemeinde,Teningen,0
Stadt,Tettnang,0
Gemeinde,Tiefenbach,0
Gemeinde,Tiefenbronn,0
Stadt,Titisee-Neustadt,0
Gemeinde,Todtmoos,0
Stadt,Todtnau,0
Stadt,Triberg im Schwarzwald,0
Stadt,Trochtelfingen,0
Stadt,Trossingen,0
Stadt,Tübingen,0
Gemeinde,Tunau,0
Gemeinde,Tuningen,0
Stadt,Tuttlingen,0
Stadt,Überlingen,0
Gemeinde,Ubstadt-Weiher,0
Stadt,Uhingen,0
Gemeinde,Uhldingen-Mühlhofen,0
Gemeinde,Ühlingen-Birkendorf,0
Stadt,Ulm,0
Gemeinde,Umkirch,0
Gemeinde,Ummendorf,0
Gemeinde,Unlingen,0
Gemeinde,Untereisesheim,0
Gemeinde,Unterensingen,0
Gemeinde,Untergruppenbach,0
Gemeinde,Unterkirnach,0
Gemeinde,Untermarchtal,0
Gemeinde,Untermünkheim,0
Gemeinde,Unterreichenbach,0
Gemeinde,Unterschneidheim,0
Gemeinde,Unterstadion,0
Gemeinde,Unterwachingen,0
Gemeinde,Unterwaldhausen,0
Gemeinde,Urbach,0
Gemeinde,Uttenweiler,0
Gemeinde,Utzenfeld,0
Stadt,Vaihingen an der Enz,0
Stadt,Vellberg,0
Stadt,Veringenstadt,0
Gemeinde,Villingendorf,0
Stadt,Villingen-Schwenningen,0
Gemeinde,Vogt,0
Stadt,Vogtsburg im Kaiserstuhl,0
Stadt,Vöhrenbach,0
Gemeinde,Vöhringen,0
Gemeinde,Volkertshausen,0
Gemeinde,Vörstetten,0
Stadt,Waghäusel,0
Stadt,Waiblingen,2
Stadt,Waibstadt,0
Gemeinde,Wain,0
Gemeinde,Wald,0
Gemeinde,Waldachtal,0
Gemeinde,Waldbronn,0
Gemeinde,Waldbrunn,0
Gemeinde,Waldburg,0
Gemeinde,Walddorfhäslach,0
Stadt,Waldenbuch,0
Stadt,Waldenburg,0
Stadt,Waldkirch,0
Stadt,Waldshut-Tiengen,0
Gemeinde,Waldstetten,0
Gemeinde,Walheim,0
Stadt,Walldorf,0
Stadt,Walldürn,0
Gemeinde,Wallhausen,0
Gemeinde,Walzbachtal,0
Gemeinde,Wangen,0
Stadt,Wangen im Allgäu,0
Gemeinde,Wannweil,0
Gemeinde,Warthausen,0
Gemeinde,Wäschenbeuren,0
Gemeinde,Wehingen,0
Stadt,Wehr,0
Gemeinde,Weidenstetten,0
Stadt,Weikersheim,0
Stadt,Weil am Rhein,0
Stadt,Weil der Stadt,0
Gemeinde,Weil im Schönbuch,0
Gemeinde,Weilen unter den Rinnen,0
Gemeinde,Weilheim,0
Stadt,Weilheim an der Teck,0
Stadt,Weingarten,0
Gemeinde,Weingarten (Baden),0
Stadt,Weinheim,0
Stadt,Weinsberg,0
Stadt,Weinstadt,0
Gemeinde,Weisenbach,0
Gemeinde,Weissach,0
Gemeinde,Weissach im Tal,0
Gemeinde,Weißbach,0
Gemeinde,Weisweil,0
Gemeinde,Wellendingen,0
Stadt,Welzheim,0
Gemeinde,Wembach,0
Stadt,Wendlingen am Neckar,0
Gemeinde,Werbach,0
Stadt,Wernau (Neckar),0
Stadt,Wertheim,0
Gemeinde,Westerheim,0
Gemeinde,Westerstetten,0
Gemeinde,Westhausen,0
Stadt,Widdern,0
Gemeinde,Wieden,0
Gemeinde,Wiernsheim,0
Gemeinde,Wiesenbach,0
Stadt,Wiesensteig,0
Stadt,Wiesloch,0
Stadt,Wildberg,0
Gemeinde,Wilhelmsdorf,0
Gemeinde,Wilhelmsfeld,0
Gemeinde,Willstätt,0
Gemeinde,Wimsheim,0
Gemeinde,Winden im Elztal,0
Stadt,Winnenden,0
Gemeinde,Winterbach,0
Gemeinde,Winterlingen,0
Gemeinde,Wittighausen,0
Gemeinde,Wittlingen,0
Gemeinde,Wittnau,0
Stadt,Wolfach,0
Gemeinde,Wolfegg,0
Gemeinde,Wolfschlugen,0
Gemeinde,Wolpertshausen,0
Gemeinde,Wolpertswende,0
Gemeinde,Wörnersberg,0
Gemeinde,Wört,0
Gemeinde,Wurmberg,0
Gemeinde,Wurmlingen,0
Gemeinde,Wüstenrot,0
Gemeinde,Wutach,0
Gemeinde,Wutöschingen,0
Gemeinde,Wyhl am Kaiserstuhl,0
Gemeinde,Zaberfeld,0
Gemeinde,Zaisenhausen,0
Stadt,Zell am Harmersbach,0
Stadt,Zell im Wiesental,0
Gemeinde,Zell unter Aichelberg,0
Gemeinde,Zimmern ob Rottweil,0
Gemeinde,Zimmern unter der Burg,0
Gemeinde,Zuzenhausen,0
Gemeinde,Zweiflingen,0
Gemeinde,Zwiefalten,0
Gemeinde,Zwingenberg,0
