Typ,Gemeindename,AnzahlHardware
Gemeinde,Dielheim,0
Stadt,Dietenheim,0
Gemeinde,Dietingen,0
Gemeinde,Dischingen,0
Stadt,Ditzingen,0
Gemeinde,Dobel,0
Gemeinde,Dogern,0
Stadt,Donaueschingen,0
Stadt,Donzdorf,0
Gemeinde,Dormettingen,0
Stadt,Dornhan,0
Gemeinde,Dornstadt,0
Stadt,Dornstetten,0
Gemeinde,Dörzbach,0
Gemeinde,Dossenheim,0
Gemeinde,Dotternhausen,0
Gemeinde,Drackenstein,0
Gemeinde,Dunningen,0
Gemeinde,Durbach,0
Gemeinde,Dürbheim,0
Gemeinde,Durchhausen,0
Gemeinde,Durlangen,0
Gemeinde,Dürmentingen,0
Gemeinde,Durmersheim,0
Gemeinde,Dürnau,0
Gemeinde,Dußlingen,0
Gemeinde,Ebenweiler,0
Stadt,Eberbach,0
Gemeinde,Eberdingen,0
Gemeinde,Eberhardzell,0
Stadt,Ebersbach an der Fils,0
Gemeinde,Ebersbach-Musbach,0
Gemeinde,Eberstadt,0
Gemeinde,Ebhausen,0
Gemeinde,Ebringen,0
Gemeinde,Edingen-Neckarhausen,0
Gemeinde,Efringen-Kirchen,0
Gemeinde,Egenhausen,0
Gemeinde,Egesheim,0
Gemeinde,Eggenstein-Leopoldshafen,0
Gemeinde,Eggingen,0
Stadt,Ehingen (Donau),0
Gemeinde,Ehningen,0
Gemeinde,Ehrenkirchen,0
Gemeinde,Eichstegen,0
Gemeinde,Eichstetten am Kaiserstuhl,0
Gemeinde,Eigeltingen,0
Gemeinde,Eimeldingen,0
Gemeinde,Eisenbach (Hochschwarzwald),0
Gemeinde,Eisingen,0
Stadt,Eislingen/Fils,0
Gemeinde,Elchesheim-Illingen,0
Gemeinde,Ellenberg,0
Gemeinde,Ellhofen,0
Stadt,Ellwangen (Jagst),0
Stadt,Elzach,0
Gemeinde,Elztal,0
Gemeinde,Emeringen,0
Gemeinde,Emerkingen,0
Stadt,Emmendingen,0
Gemeinde,Emmingen-Liptingen,0
Gemeinde,Empfingen,0
Stadt,Endingen am Kaiserstuhl,0
Gemeinde,Engelsbrand,0
Stadt,Engen,0
Gemeinde,Engstingen,0
Gemeinde,Eningen unter Achalm,0
Gemeinde,Enzklösterle,0
Gemeinde,Epfenbach,0
Gemeinde,Epfendorf,0
Stadt,Eppelheim,0
Stadt,Eppingen,0
Stadt,Erbach,0
Gemeinde,Erdmannhausen,0
Gemeinde,Eriskirch,0
Gemeinde,Erkenbrechtsweiler,0
Gemeinde,Erlenbach,0
Gemeinde,Erlenmoos,0
Gemeinde,Erligheim,0
Gemeinde,Erolzheim,0
Gemeinde,Ertingen,0
Gemeinde,Eschach,0
Gemeinde,Eschbronn,0
Gemeinde,Eschelbronn,0
Gemeinde,Eschenbach,0
Gemeinde,Essingen,0
Stadt,Esslingen am Neckar,0
Stadt,Ettlingen,0
Gemeinde,Eutingen im Gäu,0
Gemeinde,Fahrenbach,0
Gemeinde,Feldberg (Schwarzwald),0
Stadt,Fellbach,0
Gemeinde,Fichtenau,0
Gemeinde,Fichtenberg,0
Stadt,Filderstadt,0
Gemeinde,Fischerbach,0
Gemeinde,Fischingen,0
Gemeinde,Flein,0
Gemeinde,Fleischwangen,0
Gemeinde,Fluorn-Winzeln,0
Gemeinde,Forbach,0
Gemeinde,Forchheim,0
Stadt,Forchtenberg,0
Gemeinde,Forst,0
Gemeinde,Frankenhardt,0
Gemeinde,Freiamt,0
Stadt,Freiberg am Neckar,0
Stadt,Freiburg im Breisgau,0
Stadt,Freudenberg,0
Stadt,Freudenstadt,0
Gemeinde,Freudental,0
Gemeinde,Frickenhausen,0
Gemeinde,Frickingen,0
Stadt,Fridingen an der Donau,0
Gemeinde,Friedenweiler,0
Stadt,Friedrichshafen,0
Gemeinde,Friesenheim,0
Gemeinde,Friolzheim,0
Gemeinde,Frittlingen,0
Gemeinde,Fröhnd,0
Gemeinde,Fronreute,0
Stadt,Furtwangen im Schwarzwald,0
Stadt,Gaggenau,0
Gemeinde,Gaiberg,0
Gemeinde,Gaienhofen,0
Stadt,Gaildorf,0
Gemeinde,Gailingen am Hochrhein,0
Gemeinde,Gammelshausen,0
Stadt,Gammertingen,0
Gemeinde,Gärtringen,0
Gemeinde,Gäufelden,0
Gemeinde,Gechingen,0
Stadt,Geisingen,0
Stadt,Geislingen,0
Stadt,Geislingen an der Steige,0
Gemeinde,Gemmingen,0
Gemeinde,Gemmrigheim,0
Stadt,Gengenbach,0
Stadt,Gerabronn,0
Stadt,Gerlingen,0
Stadt,Gernsbach,0
Gemeinde,Gerstetten,0
Stadt,Giengen an der Brenz,0
Gemeinde,Gingen an der Fils,0
Gemeinde,Glatten,0
Gemeinde,Glottertal,0
Gemeinde,Göggingen,0
Gemeinde,Gomadingen,0
Gemeinde,Gomaringen,0
Gemeinde,Gondelsheim,0
Stadt,Göppingen,0
Gemeinde,Görwihl,0
Gemeinde,Gosheim,0
Gemeinde,Gottenheim,0
Gemeinde,Gottmadingen,0
Gemeinde,Graben-Neudorf,0
Gemeinde,Grabenstetten,0
Gemeinde,Grafenau,0
Gemeinde,Grafenberg,0
Gemeinde,Grafenhausen,0
Gemeinde,Grenzach-Wyhlen,0
Gemeinde,Griesingen,0
Gemeinde,Grömbach,0
Gemeinde,Großbettlingen,0
Stadt,Großbottwar,0
Gemeinde,Grosselfingen,0
Gemeinde,Großerlach,0
Gemeinde,Großrinderfeld,0
Gemeinde,Gruibingen,0
Gemeinde,Grundsheim,0
Gemeinde,Grünkraut,0
Stadt,Grünsfeld,0
Gemeinde,Gschwend,0
Gemeinde,Guggenhausen,0
Stadt,Güglingen,0
Gemeinde,Gundelfingen,0
Stadt,Gundelsheim,0
Gemeinde,Gunningen,0
Gemeinde,Gutach (Schwarzwaldbahn),0
Gemeinde,Gutach im Breisgau,0
Gemeinde,Gütenbach,0
Gemeinde,Gutenzell-Hürbel,0
Gemeindefreies Gebiet,Gutsbezirk Münsingen,0
Gemeinde,Häg-Ehrsberg,0
Gemeinde,Hagnau am Bodensee,0
Stadt,Haigerloch,0
Stadt,Haiterbach,0
Gemeinde,Hambrücken,0
Gemeinde,Hardheim,0
Gemeinde,Hardt,0
Gemeinde,Hardthausen am Kocher,0
Gemeinde,Hartheim am Rhein,0
Gemeinde,Hasel,0
Stadt,Haslach im Kinzigtal,0
Gemeinde,Haßmersheim,0
Gemeinde,Hattenhofen,0
Stadt,Hausach,0
Gemeinde,Hausen am Bussen,0
Gemeinde,Hausen am Tann,0
Gemeinde,Hausen im Wiesental,0
Gemeinde,Hausen ob Verena,0
Gemeinde,Häusern,0
Stadt,Hayingen,0
Stadt,Hechingen,0
Gemeinde,Heddesbach,0
Gemeinde,Heddesheim,0
Stadt,Heidelberg,0
Stadt,Heidenheim an der Brenz,0
Stadt,Heilbronn,0
Gemeinde,Heiligenberg,0
Gemeinde,Heiligkreuzsteinach,0
Stadt,Heimsheim,0
Gemeinde,Heiningen,0
Stadt,Heitersheim,0
Gemeinde,Helmstadt-Bargen,0
Gemeinde,Hemmingen,0
Stadt,Hemsbach,0
Gemeinde,Herbertingen,0
Stadt,Herbolzheim,0
Stadt,Herbrechtingen,0
Gemeinde,Herdwangen-Schönach,0
Gemeinde,Hermaringen,0
Gemeinde,Heroldstatt,0
Stadt,Herrenberg,0
Gemeinde,Herrischried,0
Gemeinde,Hessigheim,0
Stadt,Hettingen,0
Stadt,Heubach,0
Gemeinde,Heuchlingen,0
Gemeinde,Heuweiler,0
Gemeinde,Hildrizhausen,0
Gemeinde,Hilzingen,0
Gemeinde,Hinterzarten,0
Gemeinde,Hirrlingen,0
Gemeinde,Hirschberg an der Bergstraße,0
Gemeinde,Hochdorf,0
Gemeinde,Hochdorf,0
Gemeinde,Höchenschwand,0
Stadt,Hockenheim,0
Gemeinde,Höfen an der Enz,0
Gemeinde,Hofstetten,0
Gemeinde,Hohberg,0
Gemeinde,Hohenfels,0
Gemeinde,Hohenstadt,0
Gemeinde,Hohenstein,0
Gemeinde,Hohentengen,0
Gemeinde,Hohentengen am Hochrhein,0
Stadt,Holzgerlingen,0
Gemeinde,Holzkirch,0
Gemeinde,Holzmaden,0
Gemeinde,Höpfingen,0
Stadt,Horb am Neckar,0
Gemeinde,Horben,0
Gemeinde,Horgenzell,0
Stadt,Hornberg,0
Gemeinde,Hoßkirch,0
Gemeinde,Hüffenhardt,0
Stadt,Hüfingen,0
Gemeinde,Hügelsheim,0
Gemeinde,Hülben,0
Gemeinde,Hüttisheim,0
Gemeinde,Hüttlingen,0
Gemeinde,Ibach,0
Gemeinde,Iffezheim,0
Gemeinde,Igersheim,0
Gemeinde,Iggingen,0
Gemeinde,Ihringen,0
Gemeinde,Illerkirchberg,0
Gemeinde,Illerrieden,0
Gemeinde,Illingen,0
Gemeinde,Illmensee,0
Gemeinde,Ilsfeld,0
Stadt,Ilshofen,0
Gemeinde,Ilvesheim,0
Gemeinde,Immendingen,0
Gemeinde,Immenstaad am Bodensee,0
Stadt,Ingelfingen,0
Gemeinde,Ingersheim,0
Gemeinde,Ingoldingen,0
Gemeinde,Inzigkofen,0
Gemeinde,Inzlingen,0
Gemeinde,Irndorf,0
Stadt,Isny im Allgäu,0
Gemeinde,Ispringen,0
Gemeinde,Ittlingen,0
Gemeinde,Jagsthausen,0
Gemeinde,Jagstzell,0
Gemeinde,Jestetten,0
Gemeinde,Jettingen,0
Gemeinde,Jungingen,0
Gemeinde,Kaisersbach,0
Gemeinde,Kämpfelbach,0
Stadt,Kandern,0
Gemeinde,Kanzach,0
Gemeinde,Kappel-Grafenhausen,0
Gemeinde,Kappelrodeck,0
Gemeinde,Karlsbad,0
Gemeinde,Karlsdorf-Neuthard,0
Stadt,Karlsruhe,0
Stadt,Kehl,0
Gemeinde,Keltern,0
Stadt,Kenzingen,0
Gemeinde,Kernen im Remstal,0
Gemeinde,Ketsch,0
Gemeinde,Kieselbronn,0
Gemeinde,Kippenheim,0
Gemeinde,Kirchardt,0
Gemeinde,Kirchberg an der Iller,0
Stadt,Kirchberg an der Jagst,0
Gemeinde,Kirchberg an der Murr,0
Gemeinde,Kirchdorf an der Iller,0
Gemeinde,Kirchentellinsfurt,0
Gemeinde,Kirchheim am Neckar,0
Gemeinde,Kirchheim am Ries,0
Stadt,Kirchheim unter Teck,0
Gemeinde,Kirchzarten,0
Gemeinde,Kißlegg,0
Gemeinde,Kleines Wiesental,0
Gemeinde,Klettgau,0
Stadt,Knittlingen,0
Gemeinde,Kohlberg,0
Gemeinde,Kolbingen,0
Gemeinde,Köngen,0
Gemeinde,Königheim,0
Gemeinde,Königsbach-Stein,0
Gemeinde,Königsbronn,0
Gemeinde,Königseggwald,0
Gemeinde,Königsfeld im Schwarzwald,0
Gemeinde,Königsheim,0
Stadt,Konstanz,0
Gemeinde,Korb,0
Stadt,Korntal-Münchingen,0
Stadt,Kornwestheim,0
Stadt,Kraichtal,0
Gemeinde,Krauchenwies,0
Stadt,Krautheim,0
Gemeinde,Kreßberg,0
Gemeinde,Kressbronn am Bodensee,0
Gemeinde,Kronau,0
Gemeinde,Kuchen,0
Stadt,Külsheim,0
Stadt,Künzelsau,0
Gemeinde,Kupferzell,0
Stadt,Kuppenheim,0
Gemeinde,Kürnbach,0
Gemeinde,Küssaberg,0
Gemeinde,Kusterdingen,0
